"","lab_number","sample_code","year","site","plot","top","bottom","pH","bray_p","olsen_p","total_carbon","inorganic_carbon","total_p","lead","bulk_density","ksat","k","loi_om","depth_increment_height","dry_mass","radius"
"529",529,"21.53.165.0-10",2021,53,165,0,10,7.2,154,NA,10.147,NA,1013,66,2.07471641008319,NA,NA,NA,10,71.86,1.05
"530",530,"21.53.165.10-20",2021,53,165,10,20,7.2,168,NA,10.249,NA,1191,72.5,0.605149679311769,NA,NA,NA,10,20.96,1.05
"531",531,"21.53.165.20-40",2021,53,165,20,40,7.2,145,NA,6.359,NA,879,43,0.385003386146109,NA,NA,NA,20,26.67,1.05
"532",532,"21.53.165.40-60",2021,53,165,40,60,7.2,77,NA,2.57,NA,590,27,1.66574955858266,NA,NA,NA,20,115.39,1.05
"533",533,"21.53.165.60-80",2021,53,165,60,80,7.3,80,NA,3.225,0.4,536,21.5,1.20827834347316,NA,NA,NA,20,83.7,1.05
"534",534,"21.53.165.80-100",2021,53,165,80,100,7.4,50,NA,3.009,NA,335,11.5,1.46451419289549,NA,NA,NA,20,101.45,1.05
"535",535,"21.53.166.0-10",2021,53,166,0,10,7.2,182,NA,9.744,NA,1494,51.5,1.10491785435407,NA,NA,NA,10,38.27,1.05
"536",536,"21.53.166.10-20",2021,53,166,10,20,7.2,163,NA,6.613,NA,928,41,2.18933684075436,NA,NA,NA,10,75.83,1.05
"537",537,"21.53.166.20-40",2021,53,166,20,40,7.1,124,NA,3.865,NA,627,64,1.09885480890295,NA,NA,NA,20,76.12,1.05
"538",538,"21.53.166.40-60",2021,53,166,40,60,7,98,NA,6.095,NA,722,121.5,0.870480096910774,NA,NA,NA,20,60.3,1.05
"539",539,"21.53.166.60-80",2021,53,166,60,80,7.2,57,NA,1.747,0.3,198,12.5,1.6800410228603,NA,NA,NA,20,116.38,1.05
"540",540,"21.53.166.80-100",2021,53,166,80,100,7.4,47,NA,1.484,NA,167,12,1.76001547952507,NA,NA,NA,20,121.92,1.05
"541",541,"21.53.167.0-10",2021,53,167,0,10,6.8,48,NA,2.164,NA,345,62,2.33225148353076,NA,NA,NA,10,80.78,1.05
"542",542,"21.53.167.10-20",2021,53,167,10,20,7,34,NA,1.923,NA,256,38,2.65445904179027,NA,NA,NA,10,91.94,1.05
"543",543,"21.53.167.20-40",2021,53,167,20,40,7.1,32,NA,2.253,NA,290,29,1.19340944629542,NA,NA,NA,20,82.67,1.05
"544",544,"21.53.167.40-60",2021,53,167,40,60,7.3,18,NA,0.582,0.2,102,8,1.79725990158195,NA,NA,NA,20,124.5,1.05
"545",545,"21.53.167.60-80",2021,53,167,60,80,7.5,12,6,0.421,NA,125,7,1.03504847344117,NA,NA,NA,20,71.7,1.05
"546",546,"21.53.167.80-100",2021,53,167,80,100,7.4,8,NA,0.271,NA,116,9,1.63875457050267,NA,NA,NA,20,113.52,1.05
"547",547,"21.54.168.0-10",2021,54,168,0,10,7.2,164,NA,9.314,NA,1666,30,0.924470073070746,NA,NA,NA,10,32.02,1.05
"548",548,"21.54.168.10-20",2021,54,168,10,20,7.3,151,NA,7.601,NA,1329,24,1.97251078676432,NA,NA,NA,10,68.32,1.05
"549",549,"21.54.168.20-40",2021,54,168,20,40,6.9,130,NA,4.72,1.8,831,25.5,0.929666969171706,NA,NA,NA,20,64.4,1.05
"550",550,"21.54.168.40-60",2021,54,168,40,60,7.4,70,NA,3.073,1.6,379,42.5,1.71916210184252,NA,NA,NA,20,119.09,1.05
"551",551,"21.54.168.60-80",2021,54,168,60,80,7.5,47,43,3.866,NA,356,54.5,2.01769491119766,NA,NA,NA,20,139.77,1.05
"552",552,"21.54.169.0-10",2021,54,169,0,10,6.9,74,NA,4.174,NA,551,23,2.42464074754782,NA,NA,NA,10,83.98,1.05
"553",553,"21.54.169.10-20",2021,54,169,10,20,7,63,NA,3.241,NA,449,19.5,4.69914894106792,NA,NA,NA,10,162.76,1.05
"554",554,"21.54.169.20-40",2021,54,169,20,40,7.1,60,NA,2.818,0.4,507,9,3.3195173844881,NA,NA,NA,20,229.95,1.05
"555",555,"21.54.169.40-60",2021,54,169,40,60,7.8,18,10,0.641,3.1,232,6,2.01336416444686,NA,NA,NA,20,139.47,1.05
"556",556,"21.54.169.60-80",2021,54,169,60,80,7.6,31,18,1.794,1.5,288,46.5,1.69895195033879,NA,NA,NA,20,117.69,1.05
"557",557,"21.54.169.80-100",2021,54,169,80,100,7.7,22,14,0.934,NA,313,14,2.81556282092002,NA,NA,NA,20,195.04,1.05
"558",558,"21.54.170.0-10",2021,54,170,0,10,7,156,NA,11.463,NA,1106,22,2.82537918022184,NA,NA,NA,10,97.86,1.05
"559",559,"21.54.170.10-20",2021,54,170,10,20,7,170,NA,11.032,NA,1171,20,3.71029509963528,NA,NA,NA,10,128.51,1.05
"560",560,"21.54.170.20-40",2021,54,170,20,40,7.2,152,NA,8.75,NA,1177,23.5,1.87146002924565,NA,NA,NA,20,129.64,1.05
"561",561,"21.54.170.40-60",2021,54,170,40,60,7.2,140,NA,7.572,NA,1037,25.5,2.0211595085983,NA,NA,NA,20,140.01,1.05
"562",562,"21.54.170.60-80",2021,54,170,60,80,7.3,133,NA,5.544,1.9,864,24,2.37830175731426,NA,NA,NA,20,164.75,1.05
"563",563,"21.54.170.80-100",2021,54,170,80,100,7.4,98,NA,3.292,NA,723,14.5,1.22228109130075,NA,NA,NA,20,84.67,1.05
"564",564,"21.55.171.0-10",2021,55,171,0,10,7,102,NA,6.353,NA,852,65.5,0.996360469134024,NA,NA,NA,10,34.51,1.05
"565",565,"21.55.171.10-20",2021,55,171,10,20,7,100,NA,6.392,NA,820,38,1.358988330401,NA,NA,NA,10,47.07,1.05
"566",566,"21.55.171.20-40",2021,55,171,20,40,7.1,90,NA,3.422,NA,604,36,1.25750449820726,NA,NA,NA,20,87.11,1.05
"567",567,"21.55.171.40-60",2021,55,171,40,60,7.1,45,NA,0.95,NA,406,13,1.44820171346748,NA,NA,NA,20,100.32,1.05
"568",568,"21.55.171.60-80",2021,55,171,60,80,7.3,53,NA,0.794,NA,411,13,1.01902471046321,NA,NA,NA,20,70.59,1.05
"569",569,"21.55.171.80-100",2021,55,171,80,100,7.2,61,NA,0.532,NA,484,15,1.33617973084679,NA,NA,NA,20,92.56,1.05
"570",570,"21.55.172.0-10",2021,55,172,0,10,7,88,NA,5.815,NA,708,56.5,0.979903631480985,NA,NA,NA,10,33.94,1.05
"571",571,"21.55.172.10-20",2021,55,172,10,20,7,83,NA,3.574,NA,657,53.5,1.41673162041167,NA,NA,NA,10,49.07,1.05
"572",572,"21.55.172.20-40",2021,55,172,20,40,7.1,55,NA,1.882,NA,414,36,1.40215143968397,NA,NA,NA,20,97.13,1.05
"573",573,"21.55.172.40-60",2021,55,172,40,60,7,61,NA,1.441,NA,480,17,1.03851307084181,NA,NA,NA,20,71.94,1.05
"574",574,"21.55.172.60-80",2021,55,172,60,80,6.9,41,NA,0.465,NA,387,11.5,1.30456527956595,NA,NA,NA,20,90.37,1.05
"575",575,"21.55.172.80-100",2021,55,172,80,100,6.7,78,NA,0.793,NA,499,15.5,0.961425778677572,NA,NA,NA,20,66.6,1.05
"576",576,"21.55.173.0-10",2021,55,173,0,10,7.1,114,NA,4.739,NA,786,62,0.835256690004269,NA,NA,NA,10,28.93,1.05
"577",577,"21.55.173.10-20",2021,55,173,10,20,7.1,71,NA,4.147,NA,727,65.5,1.34022176114753,NA,NA,NA,10,46.42,1.05
"578",578,"21.55.173.20-40",2021,55,173,20,40,7.2,45,NA,2.939,NA,505,55,1.35321400139993,NA,NA,NA,20,93.74,1.05
"579",579,"21.55.173.40-60",2021,55,173,40,60,7.3,39,NA,1.605,0.1,435,36,1.31062832501707,NA,NA,NA,20,90.79,1.05
"580",580,"21.55.173.60-80",2021,55,173,60,80,7.4,40,NA,0.885,NA,405,18,1.16222806968966,NA,NA,NA,20,80.51,1.05
"581",581,"21.55.173.80-100",2021,55,173,80,100,7.2,54,NA,1.265,NA,457,24.5,0.467431932636333,NA,NA,NA,20,32.38,1.05
"582",582,"21.56.174.0-10",2021,56,174,0,10,7.3,99,NA,6.578,2.5,724,17,1.63326895795166,NA,NA,NA,10,56.57,1.05
"583",583,"21.56.174.10-20",2021,56,174,10,20,7.4,79,NA,2.768,2.9,367,5,2.7482918880576,NA,NA,NA,10,95.19,1.05
"584",584,"21.56.174.20-40",2021,56,174,20,40,7.6,53,18,1.603,4.1,282,0,1.55964626318806,NA,NA,NA,20,108.04,1.05
"585",585,"21.56.174.40-60",2021,56,174,40,60,7.7,34,21,2.179,NA,298,6.5,1.41759776976183,NA,NA,NA,20,98.2,1.05
"586",586,"21.56.175.0-10",2021,56,175,0,10,7.3,100,NA,4.571,NA,815,14.5,0.931399267872026,NA,NA,NA,10,32.26,1.05
"587",587,"21.56.175.10-20",2021,56,175,10,20,7.3,98,NA,4.243,1.6,696,12,2.47429997695699,NA,NA,NA,10,85.7,1.05
"588",588,"21.56.175.20-40",2021,56,175,20,40,7.4,115,NA,4.925,1.7,754,13,0.824285464902243,NA,NA,NA,20,57.1,1.05
"589",589,"21.56.175.40-60",2021,56,175,40,60,7.4,104,NA,4.131,1.8,639,20,0.81230373222503,NA,NA,NA,20,56.27,1.05
"590",590,"21.56.175.60-80",2021,56,175,60,80,7.7,25,37,2.124,4.2,521,3.5,1.20539117897263,NA,NA,NA,20,83.5,1.05
"591",591,"21.56.175.80-100",2021,56,175,80,100,7.5,66,49,3.451,NA,582,4.5,0.747342530963031,NA,NA,NA,20,51.77,1.05
"592",592,"21.56.176.0-10",2021,56,176,0,10,7.3,113,NA,6.328,NA,936,19,1.42221723296268,NA,NA,NA,10,49.26,1.05
"593",593,"21.56.176.10-20",2021,56,176,10,20,7.4,128,NA,3.83,1.9,709,18,1.51778237793033,NA,NA,NA,10,52.57,1.05
"594",594,"21.56.176.20-40",2021,56,176,20,40,7.4,102,NA,3.314,2.8,721,0,0.863406543884468,NA,NA,NA,20,59.81,1.05
"595",595,"21.56.176.40-60",2021,56,176,40,60,7.6,32,38,1.806,3.6,431,4,0.940638194273732,NA,NA,NA,20,65.16,1.05
"596",596,"21.56.176.60-80",2021,56,176,60,80,7.7,56,39,1.836,NA,414,0,0.610635291862782,NA,NA,NA,20,42.3,1.05
"597",597,"21.56.176.80-100",2021,56,176,80,100,7.5,62,47,2.08,NA,491,6,0.432930316854961,NA,NA,NA,20,29.99,1.05
"598",598,"21.57.177.0-10",2021,57,177,0,10,7,119,NA,5.682,NA,750,58.5,1.14909147121223,NA,NA,NA,10,39.8,1.05
"599",599,"21.57.177.10-20",2021,57,177,10,20,7.1,117,NA,3.769,NA,671,67.5,1.69823015921366,NA,NA,NA,10,58.82,1.05
"600",600,"21.57.177.20-40",2021,57,177,20,40,7.1,114,NA,2.423,NA,636,44.5,1.445603265417,NA,NA,NA,20,100.14,1.05
"601",601,"21.57.177.40-60",2021,57,177,40,60,7,101,NA,2.036,NA,608,20,1.3086073098667,NA,NA,NA,20,90.65,1.05
"602",602,"21.57.177.60-80",2021,57,177,60,80,6.6,43,NA,1.038,NA,355,18.5,1.60800626857199,NA,NA,NA,20,111.39,1.05
"603",603,"21.57.177.80-100",2021,57,177,80,100,6.4,42,NA,1.146,NA,313,28.5,1.32347620704444,NA,NA,NA,20,91.68,1.05
"604",604,"21.57.178.0-10",2021,57,178,0,10,7.1,71,NA,3.912,NA,608,90.5,1.32636337154497,NA,NA,NA,10,45.94,1.05
"605",605,"21.57.178.10-20",2021,57,178,10,20,7.2,77,NA,3.613,NA,609,88,1.81718133663563,NA,NA,NA,10,62.94,1.05
"606",606,"21.57.178.20-40",2021,57,178,20,40,7.3,79,NA,2.933,NA,655,90.5,1.08369719527515,NA,NA,NA,20,75.07,1.05
"607",607,"21.57.178.40-60",2021,57,178,40,60,7.2,81,NA,3.382,NA,567,118,1.14880275476218,NA,NA,NA,20,79.58,1.05
"608",608,"21.57.178.60-80",2021,57,178,60,80,7.2,71,NA,3.592,NA,566,106.5,1.39060278168184,NA,NA,NA,20,96.33,1.05
"609",609,"21.57.178.80-100",2021,57,178,80,100,7.2,40,NA,1.421,NA,339,23.5,2.93104940094135,NA,NA,NA,20,203.04,1.05
"610",610,"21.57.179.0-10",2021,57,179,0,10,7.1,60,NA,3.568,NA,671,108,1.34801710529897,NA,NA,NA,10,46.69,1.05
"611",611,"21.57.179.10-20",2021,57,179,10,20,7.2,58,NA,3.013,NA,582,101,1.25158581098116,NA,NA,NA,10,43.35,1.05
"612",612,"21.57.179.20-40",2021,57,179,20,40,7.3,63,NA,2.063,NA,490,65,1.09452406215215,NA,NA,NA,20,75.82,1.05
"613",613,"21.57.179.40-60",2021,57,179,40,60,7.5,61,28,2.012,0.4,494,198,1.11964239330679,NA,NA,NA,20,77.56,1.05
"614",614,"21.57.179.60-80",2021,57,179,60,80,7.4,75,NA,1.926,0.2,681,160.5,0.999391991859584,NA,NA,NA,20,69.23,1.05
"615",615,"21.57.179.80-100",2021,57,179,80,100,7.5,62,38,1.666,0.5,482,46.5,1.18316001231853,NA,NA,NA,20,81.96,1.05
"616",616,"21.58.180.0-10",2021,58,180,0,10,6.1,12,NA,3.252,NA,442,47,1.24754378068042,NA,NA,NA,10,43.21,1.05
"617",617,"21.58.180.10-20",2021,58,180,10,20,6.2,10,NA,2.579,NA,390,32,1.77243028687736,NA,NA,NA,10,61.39,1.05
"618",618,"21.58.180.20-40",2021,58,180,20,40,6.3,14,NA,1.655,NA,378,16,1.43477639854,NA,NA,NA,20,99.39,1.05
"619",619,"21.58.180.40-60",2021,58,180,40,60,6.4,19,NA,1.071,NA,379,11.5,1.56758596556453,NA,NA,NA,20,108.59,1.05
"620",620,"21.58.180.60-80",2021,58,180,60,80,6.6,15,NA,0.371,NA,207,0,1.70862395141558,NA,NA,NA,20,118.36,1.05
"621",621,"21.58.180.80-100",2021,58,180,80,100,6.6,11,NA,0.226,NA,215,7,2.18370686997832,NA,NA,NA,20,151.27,1.05
"622",622,"21.58.181.0-10",2021,58,181,0,10,7,128,NA,9.576,NA,1547,40,0.588404125208676,NA,NA,NA,10,20.38,1.05
"623",623,"21.58.181.10-20",2021,58,181,10,20,7.1,128,NA,9.305,NA,1448,32.5,0.593601021309636,NA,NA,NA,10,20.56,1.05
"624",624,"21.58.181.20-40",2021,58,181,20,40,7.1,63,NA,4.472,NA,606,38,1.44502583251689,NA,NA,NA,20,100.1,1.05
"625",625,"21.58.181.40-60",2021,58,181,40,60,7.2,79,NA,3.079,NA,581,7.5,2.24274938401423,NA,NA,NA,20,155.36,1.05
"626",626,"21.58.181.60-80",2021,58,181,60,80,7.2,78,NA,3.215,NA,586,19.5,2.29096503117313,NA,NA,NA,20,158.7,1.05
"627",627,"21.58.181.80-100",2021,58,181,80,100,7.5,39,16,1.117,0.5,302,4.5,2.23567583098792,NA,NA,NA,20,154.87,1.05
"628",628,"21.58.182.0-10",2021,58,182,0,10,7.3,64,NA,7.541,NA,1127,26.5,0.748930471438325,NA,NA,NA,10,25.94,1.05
"629",629,"21.58.182.10-20",2021,58,182,10,20,7.3,53,NA,4.708,NA,635,24.5,1.50565628702809,NA,NA,NA,10,52.15,1.05
"630",630,"21.58.182.20-40",2021,58,182,20,40,7.5,29,11,1.842,0.9,444,13.5,1.61161522419766,NA,NA,NA,20,111.64,1.05
"631",631,"21.58.182.40-60",2021,58,182,40,60,7.7,20,9,1.457,2.6,286,0,2.24303810046428,NA,NA,NA,20,155.38,1.05
"632",632,"21.58.182.60-80",2021,58,182,60,80,7.5,39,12,2.179,1.8,390,3.5,2.40370880491896,NA,NA,NA,20,166.51,1.05
"633",633,"21.58.182.80-100",2021,58,182,80,100,7.4,54,NA,1.617,2.1,393,8.5,2.69098167272201,NA,NA,NA,20,186.41,1.05
"634",634,"21.59.183.0-10",2021,59,183,0,10,7.1,120,NA,5.239,NA,776,81.5,1.40114093210879,NA,NA,NA,10,48.53,1.05
"635",635,"21.59.183.10-20",2021,59,183,10,20,7.1,122,NA,4.371,NA,745,96.5,0.739402828586565,NA,NA,NA,10,25.61,1.05
"636",636,"21.59.183.20-40",2021,59,183,20,40,7.3,95,NA,3.682,NA,712,116.5,2.19973063295628,NA,NA,NA,20,152.38,1.05
"637",637,"21.59.183.40-60",2021,59,183,40,60,7.2,74,NA,3.489,NA,894,200,1.36014319620121,NA,NA,NA,20,94.22,1.05
"638",638,"21.59.183.60-80",2021,59,183,60,80,7.3,58,NA,2.381,NA,526,51.5,1.0660854918219,NA,NA,NA,20,73.85,1.05
"639",639,"21.59.183.80-100",2021,59,183,80,100,7.4,52,NA,1.397,0.3,445,37,1.11386806430573,NA,NA,NA,20,77.16,1.05
"640",640,"21.59.184.0-10",2021,59,184,0,10,7,139,NA,9.955,NA,1260,60.5,0.77809083289371,NA,NA,NA,10,26.95,1.05
"641",641,"21.59.184.10-20",2021,59,184,10,20,6.9,121,NA,6.337,NA,950,62,2.24736884721508,NA,NA,NA,10,77.84,1.05
"642",642,"21.59.184.20-40",2021,59,184,20,40,7.4,90,NA,4.393,1.2,819,145,1.55675909868753,NA,NA,NA,20,107.84,1.05
"643",643,"21.59.184.40-60",2021,59,184,40,60,7.3,87,NA,5.738,NA,1377,258.5,1.40330630548419,NA,NA,NA,20,97.21,1.05
"644",644,"21.59.184.60-80",2021,59,184,60,80,7.3,75,NA,3.985,NA,549,107.5,1.38858176653147,NA,NA,NA,20,96.19,1.05
"645",645,"21.59.184.80-100",2021,59,184,80,100,7.2,428,NA,2.65,NA,1138,262,1.14360585866122,NA,NA,NA,20,79.22,1.05
"646",646,"21.59.185.0-10",2021,59,185,0,10,7.3,139,NA,10.371,NA,1244,50.5,1.89426862879986,NA,NA,NA,10,65.61,1.05
"647",647,"21.59.185.10-20",2021,59,185,10,20,7.4,118,NA,5.658,1.8,805,51,1.79783733448205,NA,NA,NA,10,62.27,1.05
"648",648,"21.59.185.20-40",2021,59,185,20,40,7.4,94,NA,5.126,1.4,869,132.5,1.43073436823925,NA,NA,NA,20,99.11,1.05
"649",649,"21.59.185.40-60",2021,59,185,40,60,7.3,112,NA,5.523,NA,1200,197.5,1.61926621012407,NA,NA,NA,20,112.17,1.05
"650",650,"21.59.185.60-80",2021,59,185,60,80,7.3,130,NA,5.726,NA,957,106.5,1.05511426671988,NA,NA,NA,20,73.09,1.05
"651",651,"21.59.185.80-100",2021,59,185,80,100,7.2,110,NA,4.713,NA,899,66.5,0.596343827585143,NA,NA,NA,20,41.31,1.05
"652",652,"21.60.186.0-10",2021,60,186,0,10,7.2,97,NA,6.382,NA,918,92,1.13840896256026,NA,NA,NA,10,39.43,1.05
"653",653,"21.60.186.10-20",2021,60,186,10,20,7.4,79,NA,3.783,0.9,579,62.5,1.61479110514825,NA,NA,NA,10,55.93,1.05
"654",654,"21.60.186.20-40",2021,60,186,20,40,7.6,48,25,1.987,1.2,444,61.5,1.7038601299897,NA,NA,NA,20,118.03,1.05
"655",655,"21.60.186.40-60",2021,60,186,40,60,7.9,22,15,1.064,1.6,359,29.5,1.78397894487949,NA,NA,NA,20,123.58,1.05
"656",656,"21.60.186.60-80",2021,60,186,60,80,7.6,40,29,2.055,1.7,415,77.5,2.18211892950303,NA,NA,NA,20,151.16,1.05
"657",657,"21.60.186.80-100",2021,60,186,80,100,7.5,32,20,1.809,1.7,397,74.5,1.5349610067085,NA,NA,NA,20,106.33,1.05
"658",658,"21.60.187.0-10",2021,60,187,0,10,7.2,95,NA,8.387,NA,1016,158.5,1.34051047759759,NA,NA,NA,10,46.43,1.05
"659",659,"21.60.187.10-20",2021,60,187,10,20,7.2,86,NA,4.692,NA,549,205,1.86539698379453,NA,NA,NA,10,64.61,1.05
"660",660,"21.60.187.20-40",2021,60,187,20,40,7.4,67,NA,2.873,NA,388,80,0.755859666239605,NA,NA,NA,20,52.36,1.05
"661",661,"21.60.187.40-60",2021,60,187,40,60,7.9,43,30,1.587,3.1,408,25,1.22747798740171,NA,NA,NA,20,85.03,1.05
"662",662,"21.60.188.0-10",2021,60,188,0,10,6.9,160,NA,10.618,NA,1252,74.5,1.66473905100747,NA,NA,NA,10,57.66,1.05
"663",663,"21.60.188.10-20",2021,60,188,10,20,7,139,NA,5.795,NA,979,137,1.54261199263491,NA,NA,NA,10,53.43,1.05
"664",664,"21.60.188.20-40",2021,60,188,20,40,7.1,158,NA,7.41,NA,1332,180.5,1.04024536954213,NA,NA,NA,20,72.06,1.05
"665",665,"21.60.188.40-60",2021,60,188,40,60,7.2,122,NA,3.832,NA,806,316,2.05335139277925,NA,NA,NA,20,142.24,1.05
"666",666,"21.60.188.60-80",2021,60,188,60,80,7,138,NA,4.493,NA,761,55.5,1.72421463971846,NA,NA,NA,20,119.44,1.05
"667",667,"21.60.188.80-100",2021,60,188,80,100,7,177,NA,6.686,NA,831,39,0.992462797058304,NA,NA,NA,20,68.75,1.05
"668",668,"21.61.189.0-10",2021,61,189,0,10,7.5,50,43,7.575,NA,927,199.5,1.29922402523996,NA,NA,NA,10,45,1.05
"669",669,"21.61.189.10-20",2021,61,189,10,20,7.6,22,40,6.422,12,938,272.5,1.68956866571206,NA,NA,NA,10,58.52,1.05
"670",670,"21.61.189.20-40",2021,61,189,20,40,7.6,58,50,5.441,6.4,947,391,1.5955914612197,NA,NA,NA,20,110.53,1.05
"671",671,"21.61.189.40-60",2021,61,189,40,60,7.5,119,53,4.628,4.5,820,250,1.91390134740349,NA,NA,NA,20,132.58,1.05
"672",672,"21.61.189.60-80",2021,61,189,60,80,7.6,77,37,2.163,3.5,1866,96.5,1.61565725449841,NA,NA,NA,20,111.92,1.05
"673",673,"21.61.189.80-100",2021,61,189,80,100,7.6,72,33,1.641,1.8,409,55,1.55950190496303,NA,NA,NA,20,108.03,1.05
"674",674,"21.61.190.0-10",2021,61,190,0,10,7.2,149,NA,7.021,NA,1044,115,1.07748979159901,NA,NA,NA,10,37.32,1.05
"675",675,"21.61.190.10-20",2021,61,190,10,20,7.2,136,NA,4.882,NA,934,132.5,0.998381484284397,NA,NA,NA,10,34.58,1.05
"676",676,"21.61.190.20-40",2021,61,190,20,40,7.5,71,66,3.519,2.4,652,110.5,1.17420980236687,NA,NA,NA,20,81.34,1.05
"677",677,"21.61.190.40-60",2021,61,190,40,60,7.2,99,NA,6.368,NA,818,167,1.09192561410167,NA,NA,NA,20,75.64,1.05
"678",678,"21.61.190.60-80",2021,61,190,60,80,7.2,103,NA,4.581,NA,800,248,0.855899916183082,NA,NA,NA,20,59.29,1.05
"679",679,"21.61.190.80-100",2021,61,190,80,100,7.3,100,NA,11.502,NA,1275,630,0.745754590487738,NA,NA,NA,20,51.66,1.05
"680",680,"21.61.191.0-10",2021,61,191,0,10,7.2,146,NA,4.719,NA,1249,55,0.79887841729755,NA,NA,NA,10,27.67,1.05
"681",681,"21.61.191.10-20",2021,61,191,10,20,7.1,151,NA,10.249,NA,1416,67.5,0.831792092603629,NA,NA,NA,10,28.81,1.05
"682",682,"21.61.191.20-40",2021,61,191,20,40,7.2,149,NA,5.179,NA,1076,48,1.03504847344117,NA,NA,NA,20,71.7,1.05
"683",683,"21.61.191.40-60",2021,61,191,40,60,7.2,67,NA,5.958,NA,882,156.5,0.389622849346962,NA,NA,NA,20,26.99,1.05
"684",684,"21.61.191.60-80",2021,61,191,60,80,7.6,26,48,2.566,6.5,847,183.5,1.22560133047636,NA,NA,NA,20,84.9,1.05
"685",685,"21.61.191.80-100",2021,61,191,80,100,7.6,83.5,47,1.484,2.1,543,55,1.53337306623321,NA,NA,NA,20,106.22,1.05
"686",686,"21.62.192.0-10",2021,62,192,0,10,6.9,76,NA,7.244,NA,782,19,1.14938018766229,NA,NA,NA,10,39.81,1.05
"687",687,"21.62.192.10-20",2021,62,192,10,20,7,74,NA,4.696,NA,689,14.5,1.99993884951938,NA,NA,NA,10,69.27,1.05
"688",688,"21.62.192.20-40",2021,62,192,20,40,7.1,65,NA,3.351,NA,531,10.5,1.22531261402631,NA,NA,NA,20,84.88,1.05
"689",689,"21.62.192.40-60",2021,62,192,40,60,7.1,77,NA,4.893,NA,657,12,0.889102307939214,NA,NA,NA,20,61.59,1.05
"690",690,"21.62.192.60-80",2021,62,192,60,80,7.4,6,NA,0.211,NA,337,0,1.15602066601351,NA,NA,NA,20,80.08,1.05
"691",691,"21.62.192.80-100",2021,62,192,80,100,7.3,7,NA,0.233,NA,324,0,1.52687694610701,NA,NA,NA,20,105.77,1.05
"692",692,"21.62.193.0-10",2021,62,193,0,10,7.2,103,NA,10.256,NA,852,58.5,1.16525959241522,NA,NA,NA,10,40.36,1.05
"693",693,"21.62.193.10-20",2021,62,193,10,20,7.1,98,NA,6.226,NA,779,187.5,2.31002031687665,NA,NA,NA,10,80.01,1.05
"694",694,"21.62.193.20-40",2021,62,193,20,40,7.2,131,NA,6.626,NA,867,125,0.767263966016711,NA,NA,NA,20,53.15,1.05
"695",695,"21.62.193.40-60",2021,62,193,40,60,7.2,131,NA,9.425,NA,860,100,0.585805677158196,NA,NA,NA,20,40.58,1.05
"696",696,"21.62.193.60-80",2021,62,193,60,80,7.2,122,NA,5.879,NA,761,76,0.966189600103452,NA,NA,NA,20,66.93,1.05
"697",697,"21.62.193.80-100",2021,62,193,80,100,7.4,67,NA,0.729,0.1,281,53,0.985822318707078,NA,NA,NA,20,68.29,1.05
"698",698,"21.62.194.0-10",2021,62,194,0,10,7,112,NA,9.427,NA,996,23,1.38439537800569,NA,NA,NA,10,47.95,1.05
"699",699,"21.62.194.10-20",2021,62,194,10,20,6.9,113,NA,7.522,NA,857,21,2.01235365687167,NA,NA,NA,10,69.7,1.05
"700",700,"21.62.194.20-40",2021,62,194,20,40,6.9,123,NA,6.929,NA,892,19,0.880440814437614,NA,NA,NA,20,60.99,1.05
"701",701,"21.62.194.40-60",2021,62,194,40,60,7,118,NA,4.92,NA,731,17,1.33848946244721,NA,NA,NA,20,92.72,1.05
"702",702,"21.62.194.60-80",2021,62,194,60,80,6.9,132,NA,9.744,NA,1119,25.5,0.834390540654109,NA,NA,NA,20,57.8,1.05
"703",703,"21.62.194.80-100",2021,62,194,80,100,6.9,128,NA,10.064,NA,1243,20.5,0.943381000549239,NA,NA,NA,20,65.35,1.05
"704",704,"21.63.195.0-10",2021,63,195,0,10,7.2,124,NA,5.931,NA,884,70.5,1.46667956627089,NA,NA,NA,10,50.8,1.05
"705",705,"21.63.195.10-20",2021,63,195,10,20,7.2,97,NA,3.232,NA,548,35,2.30713315237612,NA,NA,NA,10,79.91,1.05
"706",706,"21.63.195.20-40",2021,63,195,20,40,7.2,122,NA,5.495,NA,811,55,1.00199043991006,NA,NA,NA,20,69.41,1.05
"707",707,"21.63.195.40-60",2021,63,195,40,60,7.2,109,NA,3.498,NA,578,65,1.14562687381159,NA,NA,NA,20,79.36,1.05
"708",708,"21.63.195.60-80",2021,63,195,60,80,7.4,113,NA,1.557,0.2,596,49,1.68754765056168,NA,NA,NA,20,116.9,1.05
"709",709,"21.63.195.80-100",2021,63,195,80,100,7.2,88,NA,0.537,NA,356,14,1.19932813352151,NA,NA,NA,20,83.08,1.05
"710",710,"21.63.196.0-10",2021,63,196,0,10,7.2,121,NA,6.168,NA,767,65.5,2.55600673232209,NA,NA,NA,10,88.53,1.05
"711",711,"21.63.196.10-20",2021,63,196,10,20,7.2,98,NA,5.221,NA,698,55.5,1.77849333232848,NA,NA,NA,10,61.6,1.05
"712",712,"21.63.196.20-40",2021,63,196,20,40,7.2,92,NA,2.279,NA,495,48,1.07128238792286,NA,NA,NA,20,74.21,1.05
"713",713,"21.63.196.40-60",2021,63,196,40,60,7.3,70,NA,0.474,NA,289,7,0.957961181276932,NA,NA,NA,20,66.36,1.05
