,year,site,plot,ksat_1,ksat_2,ksat_3,ksat_4,ksat_5,ksat_avg,site_type,land_use
80,2020,7,21,17.31190248,15.2233096,NA,NA,NA,16.26760604,Residential,Garden
81,2020,8,22,1.688038982,1.266029236,4.642107199,NA,NA,2.532058472,Residential,Maintained_lawn
82,2020,8,23,19.8433786,20.65683447,10.37954541,NA,NA,16.95991949,Residential,Maintained_lawn
83,2020,8,24,6.91968618,7.896896489,4.307757371,NA,NA,6.374780013,Residential,Garden
84,2020,9,25,1.582536545,0.745414311,0.576640515,NA,NA,0.968197124,Residential,Garden_non_food_producing
85,2020,9,26,2.075905854,7.558464626,3.490061561,NA,NA,4.37481068,Residential,Garden_non_food_producing
86,2020,9,27,2.872838088,2.537218266,6.013638872,NA,NA,3.807898409,Residential,Garden_food_producing_raised_beds
87,2020,10,28,NA,NA,NA,NA,NA,0,Residential,Maintained_lawn
88,2020,10,29,NA,NA,NA,NA,NA,0,Residential,Maintained_lawn
89,2020,10,30,NA,NA,NA,NA,NA,0,Residential,Garden
90,2020,11,31,0.099549015,0.268330766,0.64017525,NA,NA,0.336018344,Residential,Maintained_lawn
91,2020,11,32,23.09530858,3.800962386,1.679658806,NA,NA,9.525309924,Residential,Garden_food_producing_in_ground
92,2020,11,33,6.439158439,0.178007926,0.519189785,NA,NA,2.378785384,Residential,Maintained_lawn
93,2020,12,34,4.307757371,1.539687239,3.547564894,NA,NA,3.131669835,Residential,Maintained_lawn
94,2020,12,35,1.653614884,8.782692274,13.1766696,NA,NA,7.870992253,Residential,Garden_non_food_producing
95,2020,12,36,11.17489732,3.193706281,5.291567627,NA,NA,6.553390409,Residential,Garden
96,2020,13,37,28.99204838,28.99204838,47.90559422,38.00962386,NA,35.97482871,Residential,Maintained_lawn
97,2020,13,38,21.16627051,41.81058625,27.67874472,NA,NA,30.21853383,Residential,Garden_non_food_producing
98,2020,13,39,2.743063345,4.630121674,4.851854529,NA,NA,4.075013183,Residential,Garden
99,2020,14,40,2.204819845,2.075905854,3.96867572,NA,NA,2.749800473,Residential,Garden
100,2020,14,41,17.19759479,27.21962858,5.953013581,NA,NA,16.79007898,Residential,Garden_non_food_producing
101,2020,14,42,3.436730291,NA,NA,NA,NA,3.436730291,Residential,Maintained_lawn
102,2020,15,43,0.101080303,0.771686946,2.425301829,NA,NA,1.099356359,Residential,Garden_non_food_producing
103,2020,15,44,23.26707708,34.18278938,22.14299578,NA,NA,26.53095408,Residential,Garden
104,2020,15,45,0.073731369,0.088192794,0.086496077,NA,NA,0.082806747,Residential,Maintained_lawn
105,2020,16,46,10.58313525,10.76124851,8.725153903,NA,NA,10.02317922,Residential,Garden_non_food_producing
106,2020,16,47,6.523210885,26.58661396,27.21962858,NA,NA,20.10981781,Residential,Garden_food_producing_raised_beds
107,2020,16,48,5.76640515,18.61366166,3.335649989,NA,NA,9.238572266,Residential,Garden_food_producing_raised_beds
108,2020,17,49,53.92130019,127.4503459,55.87414707,NA,NA,79.08193105,Residential,Maintained_lawn
109,2020,17,50,29.06268196,12.45543512,17.19759479,NA,NA,19.57190396,Residential,Garden_food_producing_raised_beds
110,2020,17,51,24.30813879,54.89385083,21.79701147,NA,NA,33.6663337,Residential,Maintained_lawn
111,2020,18,52,7.221828533,12.38686994,5.598862686,NA,NA,8.402520386,Residential,Maintained_lawn
112,2020,18,53,5.291567627,2.30656206,1.551138472,NA,NA,3.049756053,Residential,Garden_food_producing_raised_beds
113,2020,18,54,1.393686208,0.966401613,3.229186884,NA,NA,1.863091568,Residential,Garden_food_producing_raised_beds
114,2020,19,55,31.36791476,8.586584526,15.68395738,NA,NA,18.54615222,Residential,Maintained_lawn
115,2020,19,56,17.29921545,8.398294029,13.07183035,NA,NA,12.92311328,Residential,Garden_food_producing_raised_beds
116,2020,19,57,57.31835675,61.72746111,55.87414707,NA,NA,58.30665498,Residential,Garden_food_producing_raised_beds
117,2020,20,58,3.86560645,2.027179939,2.204819845,NA,NA,2.699202078,Residential,Maintained_lawn
118,2020,20,59,7.275905487,6.573701871,3.040769909,NA,NA,5.630125756,Residential,Garden
119,2020,20,60,3.86560645,0.581676927,19.8433786,NA,NA,8.096887326,Residential,Garden
